建筑面积,套内面积,配备电梯,复式,错层,高楼层,中楼层,板楼,塔楼,毛坯,简装,精装,卧室数,客厅数,厨房数,卫生间数,地区平均房价,价格/万
215.21,174.79,1,0,0,0,0,0,0,0,0,0,4,2,1,2,1.534,499.0
95.99,76.2,1,0,0,0,0,0,1,0,0,1,4,1,1,2,0.9573,80.0
69.03,54.31,1,0,0,0,1,0,1,0,0,1,2,1,1,1,2.3838,150.0
78.14,61.09,1,0,0,0,1,0,0,0,1,0,2,2,1,1,0.9573,70.0
84.5,65.67,1,0,0,0,1,0,1,0,0,1,2,2,1,1,2.3838,200.0
55.0,41.54,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2.3838,100.0
76.11,60.64,1,0,0,0,1,0,0,0,0,0,2,2,1,1,0.9573,80.0
69.41,60.75,1,0,0,0,1,1,0,0,0,1,2,2,1,1,2.3838,160.0
52.9,38.22,1,0,0,1,0,0,0,0,0,1,1,1,1,1,2.3838,90.0
52.91,39.52,1,0,0,0,0,0,1,0,0,0,2,1,1,1,2.3838,110.0
107.91,94.15,1,0,0,0,0,1,0,0,0,1,3,2,1,2,2.3838,185.0
78.14,61.09,1,0,0,0,0,0,0,0,0,1,2,2,1,1,0.9573,79.0
169.63,155.02,0,1,0,0,1,1,0,0,0,1,3,2,1,3,0.9573,228.0
38.7,29.25,1,0,0,0,0,0,1,0,0,1,1,1,1,1,3.2891,175.0
46.87,34.54,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2.3838,60.0
82.48,66.38,1,0,0,0,0,1,0,0,0,1,3,2,1,1,0.9573,79.0
74.83,74.83,1,0,0,0,1,0,1,0,0,0,2,2,1,1,1.2652,98.0
52.91,39.52,1,0,0,1,0,0,1,0,1,0,2,1,1,1,2.3838,106.0
69.41,60.75,0,0,0,0,1,1,0,0,1,0,2,2,1,1,2.3838,145.0
89.35,67.39,1,0,0,0,1,0,0,0,0,0,3,2,1,2,0.9573,125.0
97.93,76.55,1,0,0,1,0,0,1,0,0,1,3,2,1,2,1.2652,106.0
128.09,108.97,1,0,0,0,0,0,0,0,0,1,3,2,1,2,1.534,238.0
122.43,100.86,1,0,0,0,0,0,0,0,1,0,3,2,1,2,2.3838,275.0
92.68,73.24,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1.2652,133.0
88.13,70.42,1,0,0,0,0,0,0,0,0,1,3,1,1,1,2.3838,225.0
95.0,76.82,1,0,0,1,0,0,0,0,1,0,3,2,1,2,1.2652,104.0
38.92,28.32,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2.3838,138.0
98.63,74.69,1,0,0,1,0,0,1,1,0,0,3,2,1,2,0.9573,78.0
69.41,60.75,1,0,0,0,1,1,0,0,0,1,2,2,1,1,2.3838,160.0
106.06,97.0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,2.3838,178.0
95.99,76.2,1,0,0,0,0,0,1,0,0,1,4,1,1,2,0.9573,80.0
69.03,54.31,1,0,0,0,1,0,1,0,0,1,2,1,1,1,2.3838,150.0
59.79,48.57,1,0,0,1,0,0,1,1,0,0,2,2,1,1,0.9573,52.0
76.11,60.64,1,0,0,0,1,0,0,0,0,0,2,2,1,1,0.9573,80.0
55.0,41.54,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2.3838,100.0
97.82,78.56,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,310.0
38.92,28.32,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2.3838,138.0
84.5,65.67,1,0,0,0,1,0,1,0,0,1,2,2,1,1,2.3838,200.0
39.0,29.19,1,0,0,0,1,0,0,0,1,0,1,1,1,1,2.3838,85.0
38.81,29.13,1,0,0,1,0,1,0,0,0,1,1,0,1,1,2.3838,84.5
95.99,76.2,1,0,0,0,0,0,1,0,0,1,4,1,1,2,0.9573,80.0
69.03,54.31,1,0,0,0,1,0,1,0,0,1,2,1,1,1,2.3838,150.0
98.61,78.57,1,0,0,1,0,0,0,0,1,0,3,2,1,2,0.9573,108.0
94.79,75.69,1,0,0,0,1,0,0,0,0,1,3,2,1,2,2.3838,239.0
91.77,91.77,1,0,0,1,0,0,0,0,0,1,3,2,1,1,0.9573,70.0
71.83,65.89,0,0,0,0,1,0,1,0,0,1,2,1,1,1,2.3838,149.0
69.45,56.47,1,0,0,0,1,0,0,0,0,1,2,2,1,1,2.3838,188.0
76.77,70.1,0,0,0,0,1,0,1,0,0,1,3,1,1,1,2.3838,129.0
133.87,111.69,1,0,0,0,0,1,0,0,0,1,4,2,1,2,1.2652,119.0
87.94,69.54,1,0,0,0,0,0,1,0,0,1,3,2,1,2,1.2652,128.0
44.53,34.31,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1.2652,46.5
110.41,84.51,1,0,0,0,0,0,0,0,0,1,3,2,1,2,2.3838,360.0
128.53,102.36,1,0,0,0,1,0,1,0,1,0,4,2,1,2,2.3838,260.0
135.62,105.24,1,0,0,0,0,1,0,0,0,1,3,2,1,2,2.3838,448.0
82.48,66.38,1,0,0,0,0,1,0,0,0,1,3,2,1,1,0.9573,79.0
46.87,34.54,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2.3838,60.0
69.41,60.75,0,0,0,0,1,1,0,0,1,0,2,2,1,1,2.3838,145.0
52.91,39.52,1,0,0,1,0,0,1,0,1,0,2,1,1,1,2.3838,106.0
92.68,73.24,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1.2652,133.0
74.83,74.83,1,0,0,0,1,0,1,0,0,0,2,2,1,1,1.2652,98.0
89.35,67.39,1,0,0,0,1,0,0,0,0,0,3,2,1,2,0.9573,125.0
78.14,61.09,1,0,0,0,0,0,0,0,0,1,2,2,1,1,0.9573,79.0
169.63,155.02,0,1,0,0,1,1,0,0,0,1,3,2,1,3,0.9573,228.0
102.85,79.44,1,0,0,0,0,0,1,0,0,1,3,2,1,2,2.3838,267.0
97.93,76.55,1,0,0,1,0,0,1,0,0,1,3,2,1,2,1.2652,106.0
38.7,29.25,1,0,0,0,0,0,1,0,0,1,1,1,1,1,3.2891,175.0
47.23,32.29,1,0,0,1,0,0,0,0,0,1,1,1,1,1,2.3838,99.0
50.44,38.26,1,0,0,0,1,1,0,0,1,0,2,1,1,1,2.3838,130.0
86.21,71.01,1,0,0,0,1,0,0,0,1,0,2,2,1,1,0.9573,75.0
133.9,108.08,1,0,0,1,0,0,0,0,0,1,3,2,1,2,2.3838,330.0
87.89,67.5,1,0,0,1,0,0,1,0,0,1,3,2,1,1,1.2652,110.0
74.7,55.93,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1.2652,70.0
81.5,63.39,1,0,0,0,1,0,1,0,0,1,2,2,1,1,0.9573,69.0
86.64,68.33,1,0,0,1,0,1,0,1,0,0,3,2,1,1,0.9573,73.0
97.73,86.3,0,0,0,0,1,0,0,0,0,1,3,2,1,2,1.534,158.0
133.38,108.0,1,0,0,1,0,0,1,0,0,1,4,2,1,2,2.3838,365.0
137.4,109.2,1,0,0,0,0,1,0,0,0,1,3,2,1,2,2.3838,350.0
80.48,80.48,1,0,0,0,1,0,0,0,0,1,2,2,1,1,2.3838,176.0
132.47,108.57,1,0,0,0,1,1,0,0,1,0,4,2,1,2,2.3838,265.0
86.12,67.39,1,0,0,1,0,0,1,0,1,0,2,2,1,1,2.3838,210.0
90.95,69.63,1,0,0,0,0,0,1,0,0,1,2,2,1,1,2.3838,225.0
106.69,89.02,1,0,0,0,1,1,0,0,0,1,3,2,1,1,2.3838,226.0
116.82,90.45,1,0,0,1,0,0,1,0,1,0,4,2,1,2,0.9573,121.0
89.35,73.83,1,0,0,0,0,0,0,0,0,1,3,2,1,2,2.3838,225.0
109.82,94.98,0,0,0,0,1,1,0,0,1,0,3,2,1,2,2.3838,218.0
101.18,79.51,1,0,0,0,0,0,1,0,0,1,3,2,1,2,0.9573,90.0
94.9,76.83,1,0,0,0,1,0,0,0,0,1,3,2,1,2,0.9573,106.0
89.07,72.9,1,0,0,0,1,0,1,0,0,1,3,2,1,1,2.3838,210.0
91.91,73.72,1,0,0,1,0,0,0,0,0,1,3,2,1,1,1.2652,88.0
87.01,69.52,1,0,0,1,0,0,0,0,0,1,3,2,1,1,2.3838,230.0
91.08,71.81,1,0,0,0,1,0,0,0,0,1,3,2,1,1,1.534,167.0
108.0,91.69,1,0,0,1,0,1,0,0,1,0,3,2,1,2,0.9573,72.0
